Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Day_Perc_Change,Trend
HEROMOTOCO,EQ,2019-03-07,2765.85,2770.0,2779.0,2721.0,2724.95,2730.1,2743.88,394045,1081212522.85,39967,104297,26.47,-1.2925502106043374,Negative
HEROMOTOCO,EQ,2019-03-08,2730.1,2731.0,2758.45,2699.95,2747.2,2740.35,2720.51,674840,1835906041.05,33701,309538,45.87,0.37544412292589424,Slight or No change
HEROMOTOCO,EQ,2019-03-11,2740.35,2745.0,2828.4,2745.0,2809.5,2814.75,2806.52,857601,2406870741.6,50022,243298,28.37,2.7149816629262746,Positive
HEROMOTOCO,EQ,2019-03-12,2814.75,2840.0,2849.4,2790.1,2802.85,2808.45,2810.08,840207,2361045415.95,54787,317164,37.75,-0.2238209432454119,Slight or No change
HEROMOTOCO,EQ,2019-03-13,2808.45,2814.0,2828.0,2790.6,2810.0,2803.65,2810.97,380361,1069184130.75,40228,123867,32.57,-0.1709127810713973,Slight or No change
HEROMOTOCO,EQ,2019-03-14,2803.65,2813.0,2818.0,2744.1,2753.0,2751.7,2765.76,497697,1376511546.0,36839,130688,26.26,-1.852941700996924,Negative
HEROMOTOCO,EQ,2019-03-15,2751.7,2771.0,2771.0,2717.1,2735.85,2735.85,2737.43,916870,2509867236.1,56174,476636,51.99,-0.5760075589635427,Slight negative
HEROMOTOCO,EQ,2019-03-18,2735.85,2745.0,2763.15,2662.0,2671.0,2669.5,2699.63,830642,2242422734.35,50718,378698,45.59,-2.4252060602737657,Negative
HEROMOTOCO,EQ,2019-03-19,2669.5,2659.0,2659.0,2601.0,2615.0,2614.05,2615.19,978189,2558153842.6,75876,325764,33.3,-2.0771680089904376,Negative
HEROMOTOCO,EQ,2019-03-20,2614.05,2614.05,2645.0,2593.05,2608.0,2609.15,2617.96,877100,2296212736.75,54589,313680,35.76,-0.18744859509191025,Slight or No change
HEROMOTOCO,EQ,2019-03-22,2609.15,2624.45,2637.95,2594.05,2601.0,2603.3,2614.75,566228,1480541879.35,62469,244169,43.12,-0.22421094992621793,Slight or No change
HEROMOTOCO,EQ,2019-03-25,2603.3,2594.0,2608.8,2537.05,2572.0,2575.7,2571.79,854446,2197457215.7,79002,337880,39.54,-1.0601928321745668,Negative
HEROMOTOCO,EQ,2019-03-26,2575.7,2586.0,2604.7,2546.8,2574.5,2574.45,2572.87,555742,1429851330.25,49692,236022,42.47,-0.04853049656403652,Slight or No change
HEROMOTOCO,EQ,2019-03-27,2574.45,2593.8,2594.0,2535.0,2538.35,2543.2,2562.13,760530,1948575153.35,57977,432481,56.87,-1.2138515022626195,Negative
HEROMOTOCO,EQ,2019-03-28,2543.2,2550.0,2558.0,2515.0,2530.0,2525.75,2529.57,1147361,2902331999.5,91193,581596,50.69,-0.6861434413337419,Slight negative
HEROMOTOCO,EQ,2019-03-29,2525.75,2540.0,2577.75,2526.2,2552.1,2553.15,2551.36,1164408,2970824340.8,83625,508096,43.64,1.0848262892210192,Positive
HEROMOTOCO,EQ,2019-04-01,2553.15,2573.0,2593.4,2545.0,2555.0,2558.5,2576.57,832495,2144981785.5,56293,405111,48.66,0.20954507177408654,Slight or No change
HEROMOTOCO,EQ,2019-04-02,2558.5,2550.4,2599.0,2545.0,2577.95,2569.95,2579.95,1063757,2744442226.05,61026,474196,44.58,0.4475278483486278,Slight or No change
